storativity,young\_modulus,init\_stress\_x,init\_stress\_y,perm\_kr,perm\_km,perm\_beta,perm\_gamma
9.884556562619955e-08,121300574092.4045,56154245.24733402,7707135.804700914,1.1493925367552098e-21,2.231986811847336e-18,3.9216019269571003e-07,4.02778793313748e-07
1.0446969085096757e-07,121300574092.4045,56154245.24733402,7707135.804700914,1.1493925367552098e-21,2.231986811847336e-18,3.9216019269571003e-07,4.02778793313748e-07
9.884556562619955e-08,125348422661.45197,56154245.24733402,7707135.804700914,1.1493925367552098e-21,2.231986811847336e-18,3.9216019269571003e-07,4.02778793313748e-07
9.884556562619955e-08,121300574092.4045,56573947.6008372,7707135.804700914,1.1493925367552098e-21,2.231986811847336e-18,3.9216019269571003e-07,4.02778793313748e-07
9.884556562619955e-08,121300574092.4045,56154245.24733402,7959922.876930224,1.1493925367552098e-21,2.231986811847336e-18,3.9216019269571003e-07,4.02778793313748e-07
9.884556562619955e-08,121300574092.4045,56154245.24733402,7707135.804700914,1.2125006786074164e-21,2.231986811847336e-18,3.9216019269571003e-07,4.02778793313748e-07
9.884556562619955e-08,121300574092.4045,56154245.24733402,7707135.804700914,1.1493925367552098e-21,4.4115447767998545e-18,3.9216019269571003e-07,4.02778793313748e-07
9.884556562619955e-08,121300574092.4045,56154245.24733402,7707135.804700914,1.1493925367552098e-21,2.231986811847336e-18,4.116614962625361e-07,4.02778793313748e-07
9.884556562619955e-08,121300574092.4045,56154245.24733402,7707135.804700914,1.1493925367552098e-21,2.231986811847336e-18,3.9216019269571003e-07,4.427099971366976e-07
9.322144040143154e-08,121300574092.4045,56154245.24733402,7707135.804700914,1.1493925367552098e-21,2.231986811847336e-18,3.9216019269571003e-07,4.02778793313748e-07
9.884556562619955e-08,117252725523.35703,56154245.24733402,7707135.804700914,1.1493925367552098e-21,2.231986811847336e-18,3.9216019269571003e-07,4.02778793313748e-07
9.884556562619955e-08,121300574092.4045,55734542.893830836,7707135.804700914,1.1493925367552098e-21,2.231986811847336e-18,3.9216019269571003e-07,4.02778793313748e-07
9.884556562619955e-08,121300574092.4045,56154245.24733402,7454348.732471604,1.1493925367552098e-21,2.231986811847336e-18,3.9216019269571003e-07,4.02778793313748e-07
9.884556562619955e-08,121300574092.4045,56154245.24733402,7707135.804700914,1.0862843949030032e-21,2.231986811847336e-18,3.9216019269571003e-07,4.02778793313748e-07
9.884556562619955e-08,121300574092.4045,56154245.24733402,7707135.804700914,1.1493925367552098e-21,5.242884689481743e-20,3.9216019269571003e-07,4.02778793313748e-07
9.884556562619955e-08,121300574092.4045,56154245.24733402,7707135.804700914,1.1493925367552098e-21,2.231986811847336e-18,3.7265888912888395e-07,4.02778793313748e-07
9.884556562619955e-08,121300574092.4045,56154245.24733402,7707135.804700914,1.1493925367552098e-21,2.231986811847336e-18,3.9216019269571003e-07,3.6284758949079846e-07
1.157179413005036e-07,121300574092.4045,56154245.24733402,7707135.804700914,1.1493925367552098e-21,2.231986811847336e-18,3.9216019269571003e-07,4.02778793313748e-07
9.884556562619955e-08,133444119799.54692,56154245.24733402,7707135.804700914,1.1493925367552098e-21,2.231986811847336e-18,3.9216019269571003e-07,4.02778793313748e-07
9.884556562619955e-08,121300574092.4045,57413352.30784356,7707135.804700914,1.1493925367552098e-21,2.231986811847336e-18,3.9216019269571003e-07,4.02778793313748e-07
